C,SF,FA,SL,MK,Fine_Agg,Coarse_Agg,W,SP,L,D,Fiber_Volume_pct,CS,W_C_ratio,Total_Binder,Total_Fiber,SF_C_ratio,W_Binder_ratio,Fiber_Aspect_Ratio
320.0,0.0,0.0,0.0,0.0,944.0,960.0,192.0,5.083,17.0,0.2746153846365088,0.5095541401273885,38.5,0.599999998125,320.0,0.5095541401273885,0.0,0.599999998125,61.90453647731819
320.0,0.0,0.0,0.0,0.0,944.0,960.0,192.0,5.083,17.0,0.2746153846365088,0.9554140127388536,40.2,0.599999998125,320.0,0.9554140127388536,0.0,0.599999998125,61.90453647731819
320.0,0.0,0.0,0.0,0.0,944.0,960.0,192.0,5.083,17.0,0.3116666666406944,0.5095541401273885,36.4,0.599999998125,320.0,0.5095541401273885,0.0,0.599999998125,54.54527953840789
320.0,0.0,0.0,0.0,0.0,944.0,960.0,192.0,5.083,17.0,0.3116666666406944,0.9554140127388536,40.9,0.599999998125,320.0,0.9554140127388536,0.0,0.599999998125,54.54527953840789
370.0,0.0,0.0,0.0,0.0,987.9,987.9,185.0,0.62,60.0,0.75,0.3184713375796179,37.1,0.49999999864864864,370.0,0.3184713375796179,0.0,0.49999999864864864,79.99989333347555
454.0,0.0,0.0,0.0,0.0,712.78,889.84,272.4,0.0,30.0,0.67,0.2547770700636942,33.5,0.599999998678414,454.0,0.2547770700636942,0.0,0.599999998678414,44.77605257305586
454.0,0.0,0.0,0.0,0.0,712.78,889.84,272.4,0.0,30.0,0.67,0.3821656050955414,34.5,0.599999998678414,454.0,0.3821656050955414,0.0,0.599999998678414,44.77605257305586
454.0,0.0,0.0,0.0,0.0,712.78,889.84,272.4,0.0,30.0,0.67,0.5732484076433121,34.0,0.599999998678414,454.0,0.5732484076433121,0.0,0.599999998678414,44.77605257305586
410.0,0.0,0.0,0.0,0.0,916.0,829.0,225.0,5.0,0.0,0.0,0.0,32.06,0.5487804864663891,410.0,0.0,0.0,0.5487804864663891,0.0
410.0,0.0,0.0,0.0,0.0,916.0,829.0,225.0,5.0,30.0,0.5,0.5,32.66,0.5487804864663891,410.0,0.5,0.0,0.5487804864663891,59.99988000024
410.0,0.0,0.0,0.0,0.0,916.0,829.0,225.0,5.0,30.0,0.5,1.0,34.11,0.5487804864663891,410.0,1.0,0.0,0.5487804864663891,59.99988000024
410.0,0.0,0.0,0.0,0.0,916.0,829.0,225.0,5.0,30.0,0.5,1.2500636942675158,36.28,0.5487804864663891,410.0,1.2500636942675158,0.0,0.5487804864663891,59.99988000024
410.0,0.0,0.0,0.0,0.0,916.0,829.0,225.0,5.0,30.0,0.5,1.5,37.46,0.5487804864663891,410.0,1.5,0.0,0.5487804864663891,59.99988000024
410.0,0.0,0.0,0.0,0.0,916.0,829.0,225.0,5.0,30.0,0.5,1.750063694267516,39.27,0.5487804864663891,410.0,1.750063694267516,0.0,0.5487804864663891,59.99988000024
410.0,0.0,0.0,0.0,0.0,916.0,829.0,225.0,5.0,30.0,0.5,2.0,39.85,0.5487804864663891,410.0,2.0,0.0,0.5487804864663891,59.99988000024
410.0,0.0,0.0,0.0,0.0,916.0,829.0,225.0,5.0,60.0,0.8,0.5,33.73,0.5487804864663891,410.0,0.5,0.0,0.5487804864663891,74.99990625011718
410.0,0.0,0.0,0.0,0.0,916.0,829.0,225.0,5.0,60.0,0.8,1.0,34.63,0.5487804864663891,410.0,1.0,0.0,0.5487804864663891,74.99990625011718
410.0,0.0,0.0,0.0,0.0,916.0,829.0,225.0,5.0,60.0,0.8,1.2500636942675158,36.61,0.5487804864663891,410.0,1.2500636942675158,0.0,0.5487804864663891,74.99990625011718
410.0,0.0,0.0,0.0,0.0,916.0,829.0,225.0,5.0,60.0,0.8,1.5,38.31,0.5487804864663891,410.0,1.5,0.0,0.5487804864663891,74.99990625011718
410.0,0.0,0.0,0.0,0.0,916.0,829.0,225.0,5.0,60.0,0.8,1.750063694267516,39.63,0.5487804864663891,410.0,1.750063694267516,0.0,0.5487804864663891,74.99990625011718
410.0,0.0,0.0,0.0,0.0,916.0,829.0,225.0,5.0,60.0,0.8,2.0,41.17,0.5487804864663891,410.0,2.0,0.0,0.5487804864663891,74.99990625011718
410.0,0.0,0.0,0.0,0.0,916.0,829.0,225.0,5.0,50.0,0.6,0.5,33.99,0.5487804864663891,410.0,0.5,0.0,0.5487804864663891,83.33319444467593
410.0,0.0,0.0,0.0,0.0,916.0,829.0,225.0,5.0,50.0,0.6,1.0,35.26,0.5487804864663891,410.0,1.0,0.0,0.5487804864663891,83.33319444467593
410.0,0.0,0.0,0.0,0.0,916.0,829.0,225.0,5.0,50.0,0.6,1.2500636942675158,37.09,0.5487804864663891,410.0,1.2500636942675158,0.0,0.5487804864663891,83.33319444467593
410.0,0.0,0.0,0.0,0.0,916.0,829.0,225.0,5.0,50.0,0.6,1.5,39.73,0.5487804864663891,410.0,1.5,0.0,0.5487804864663891,83.33319444467593
410.0,0.0,0.0,0.0,0.0,916.0,829.0,225.0,5.0,50.0,0.6,1.750063694267516,41.27,0.5487804864663891,410.0,1.750063694267516,0.0,0.5487804864663891,83.33319444467593
410.0,0.0,0.0,0.0,0.0,916.0,829.0,225.0,5.0,50.0,0.6,2.0,42.87,0.5487804864663891,410.0,2.0,0.0,0.5487804864663891,83.33319444467593
565.0,56.5,0.0,0.0,0.0,530.0,1150.0,191.0,17.0,0.0,0.0,0.0,73.5,0.33805309674680867,621.5,0.0,0.09999999982300885,0.3073209970920016,0.0
